TG_DateNum,daylight_hours
726833,8.316666667
726834,8.333333333
726835,8.35
726836,8.383333333
726837,8.4
726838,8.416666667
726839,8.45
726840,8.466666667
726841,8.5
726842,8.533333333
726843,8.55
726844,8.583333333
726845,8.616666667
726846,8.65
726847,8.683333333
726848,8.733333333
726849,8.766666667
726850,8.8
726851,8.833333333
726852,8.883333333
726853,8.916666667
726854,8.966666667
726855,9
726856,9.05
726857,9.1
726858,9.133333333
726859,9.183333333
726860,9.233333333
726861,9.283333333
726862,9.333333333
726863,9.383333333
726864,9.433333333
726865,9.483333333
726866,9.533333333
726867,9.583333333
726868,9.633333333
726869,9.683333333
726870,9.733333333
726871,9.8
726872,9.85
726873,9.9
726874,9.95
726875,10.01666667
726876,10.06666667
726877,10.13333333
726878,10.18333333
726879,10.23333333
726880,10.3
726881,10.35
726882,10.41666667
726883,10.46666667
726884,10.53333333
726885,10.58333333
726886,10.65
726887,10.7
726888,10.76666667
726889,10.81666667
726890,10.88333333
726891,10.93333333
726892,11
726893,11.05
726894,11.11666667
726895,11.18333333
726896,11.23333333
726897,11.3
726898,11.35
726899,11.41666667
726900,11.48333333
726901,11.53333333
726902,11.6
726903,11.65
726904,11.71666667
726905,11.78333333
726906,11.83333333
726907,11.9
726908,11.96666667
726909,12.01666667
726910,12.08333333
726911,12.15
726912,12.2
726913,12.26666667
726914,12.31666667
726915,12.38333333
726916,12.45
726917,12.5
726918,12.56666667
726919,12.63333333
726920,12.68333333
726921,12.75
726922,12.8
726923,12.86666667
726924,12.93333333
726925,12.98333333
726926,13.05
726927,13.1
726928,13.16666667
726929,13.21666667
726930,13.28333333
726931,13.33333333
726932,13.4
726933,13.46666667
726934,13.51666667
726935,13.58333333
726936,13.63333333
726937,13.7
726938,13.75
726939,13.81666667
726940,13.86666667
726941,13.91666667
726942,13.98333333
726943,14.03333333
726944,14.1
726945,14.15
726946,14.2
726947,14.26666667
726948,14.31666667
726949,14.36666667
726950,14.43333333
726951,14.48333333
726952,14.53333333
726953,14.58333333
726954,14.63333333
726955,14.7
726956,14.75
726957,14.8
726958,14.85
726959,14.9
726960,14.95
726961,15
726962,15.05
726963,15.1
726964,15.13333333
726965,15.18333333
726966,15.23333333
726967,15.28333333
726968,15.31666667
726969,15.36666667
726970,15.4
726971,15.45
726972,15.48333333
726973,15.53333333
726974,15.56666667
726975,15.61666667
726976,15.65
726977,15.68333333
726978,15.71666667
726979,15.75
726980,15.78333333
726981,15.81666667
726982,15.85
726983,15.88333333
726984,15.9
726985,15.93333333
726986,15.96666667
726987,15.98333333
726988,16.01666667
726989,16.03333333
726990,16.05
726991,16.06666667
726992,16.08333333
726993,16.11666667
726994,16.11666667
726995,16.13333333
726996,16.15
726997,16.16666667
726998,16.16666667
726999,16.18333333
727000,16.18333333
727001,16.2
727002,16.2
727003,16.2
727004,16.2
727005,16.2
727006,16.2
727007,16.2
727008,16.18333333
727009,16.18333333
727010,16.18333333
727011,16.16666667
727012,16.15
727013,16.15
727014,16.13333333
727015,16.11666667
727016,16.1
727017,16.08333333
727018,16.06666667
727019,16.03333333
727020,16.01666667
727021,16
727022,15.96666667
727023,15.95
727024,15.91666667
727025,15.88333333
727026,15.86666667
727027,15.83333333
727028,15.8
727029,15.76666667
727030,15.73333333
727031,15.7
727032,15.66666667
727033,15.61666667
727034,15.58333333
727035,15.55
727036,15.51666667
727037,15.46666667
727038,15.43333333
727039,15.38333333
727040,15.35
727041,15.3
727042,15.25
727043,15.21666667
727044,15.16666667
727045,15.11666667
727046,15.06666667
727047,15.01666667
727048,14.96666667
727049,14.93333333
727050,14.88333333
727051,14.83333333
727052,14.78333333
727053,14.71666667
727054,14.66666667
727055,14.61666667
727056,14.56666667
727057,14.51666667
727058,14.46666667
727059,14.41666667
727060,14.35
727061,14.3
727062,14.25
727063,14.18333333
727064,14.13333333
727065,14.08333333
727066,14.01666667
727067,13.96666667
727068,13.91666667
727069,13.85
727070,13.8
727071,13.73333333
727072,13.68333333
727073,13.63333333
727074,13.56666667
727075,13.51666667
727076,13.45
727077,13.4
727078,13.33333333
727079,13.28333333
727080,13.21666667
727081,13.16666667
727082,13.1
727083,13.05
727084,12.98333333
727085,12.93333333
727086,12.86666667
727087,12.81666667
727088,12.75
727089,12.68333333
727090,12.63333333
727091,12.56666667
727092,12.51666667
727093,12.45
727094,12.4
727095,12.33333333
727096,12.26666667
727097,12.21666667
727098,12.15
727099,12.1
727100,12.03333333
727101,11.98333333
727102,11.91666667
727103,11.85
727104,11.8
727105,11.73333333
727106,11.68333333
727107,11.61666667
727108,11.56666667
727109,11.5
727110,11.43333333
727111,11.38333333
727112,11.31666667
727113,11.26666667
727114,11.2
727115,11.15
727116,11.08333333
727117,11.03333333
727118,10.96666667
727119,10.91666667
727120,10.85
727121,10.8
727122,10.73333333
727123,10.68333333
727124,10.61666667
727125,10.56666667
727126,10.5
727127,10.45
727128,10.38333333
727129,10.33333333
727130,10.28333333
727131,10.21666667
727132,10.16666667
727133,10.11666667
727134,10.05
727135,10
727136,9.95
727137,9.883333333
727138,9.833333333
727139,9.783333333
727140,9.733333333
727141,9.683333333
727142,9.633333333
727143,9.566666667
727144,9.516666667
727145,9.466666667
727146,9.416666667
727147,9.366666667
727148,9.316666667
727149,9.283333333
727150,9.233333333
727151,9.183333333
727152,9.133333333
727153,9.083333333
727154,9.05
727155,9
727156,8.966666667
727157,8.916666667
727158,8.883333333
727159,8.833333333
727160,8.8
727161,8.766666667
727162,8.716666667
727163,8.683333333
727164,8.65
727165,8.616666667
727166,8.583333333
727167,8.55
727168,8.533333333
727169,8.5
727170,8.466666667
727171,8.45
727172,8.416666667
727173,8.4
727174,8.383333333
727175,8.35
727176,8.333333333
727177,8.316666667
727178,8.3
727179,8.283333333
727180,8.283333333
727181,8.266666667
727182,8.25
727183,8.25
727184,8.233333333
727185,8.233333333
727186,8.233333333
727187,8.233333333
727188,8.233333333
727189,8.233333333
727190,8.233333333
727191,8.233333333
727192,8.25
727193,8.25
727194,8.266666667
727195,8.266666667
727196,8.283333333
727197,8.3
727198,8.316666667
727199,8.333333333
727200,8.35
727201,8.366666667
727202,8.4
727203,8.416666667
727204,8.433333333
727205,8.466666667
727206,8.5
727207,8.516666667
727208,8.55
727209,8.583333333
727210,8.616666667
727211,8.65
727212,8.683333333
727213,8.716666667
727214,8.75
727215,8.8
727216,8.833333333
727217,8.866666667
727218,8.916666667
727219,8.95
727220,9
727221,9.033333333
727222,9.083333333
727223,9.133333333
727224,9.183333333
727225,9.216666667
727226,9.266666667
727227,9.316666667
727228,9.366666667
727229,9.416666667
727230,9.466666667
727231,9.516666667
727232,9.566666667
727233,9.616666667
727234,9.666666667
727235,9.733333333
727236,9.783333333
727237,9.833333333
727238,9.883333333
727239,9.95
727240,10
727241,10.05
727242,10.11666667
727243,10.16666667
727244,10.23333333
727245,10.28333333
727246,10.33333333
727247,10.4
727248,10.45
727249,10.51666667
727250,10.56666667
727251,10.63333333
727252,10.68333333
727253,10.75
727254,10.8
727255,10.86666667
727256,10.91666667
727257,10.98333333
727258,11.05
727259,11.1
727260,11.16666667
727261,11.21666667
727262,11.28333333
727263,11.33333333
727264,11.4
727265,11.46666667
727266,11.51666667
727267,11.58333333
727268,11.65
727269,11.7
727270,11.76666667
727271,11.81666667
727272,11.88333333
727273,11.95
727274,12
727275,12.06666667
727276,12.13333333
727277,12.18333333
727278,12.25
727279,12.31666667
727280,12.36666667
727281,12.43333333
727282,12.48333333
727283,12.55
727284,12.61666667
727285,12.66666667
727286,12.73333333
727287,12.78333333
727288,12.85
727289,12.91666667
727290,12.96666667
727291,13.03333333
727292,13.08333333
727293,13.15
727294,13.21666667
727295,13.26666667
727296,13.33333333
727297,13.38333333
727298,13.45
727299,13.5
727300,13.56666667
727301,13.61666667
727302,13.68333333
727303,13.73333333
727304,13.8
727305,13.85
727306,13.91666667
727307,13.96666667
727308,14.01666667
727309,14.08333333
727310,14.13333333
727311,14.2
727312,14.25
727313,14.3
727314,14.36666667
727315,14.41666667
727316,14.46666667
727317,14.51666667
